title,year,film_url,user_rating,annotation
France,2021,https://www.senscritique.com/film/france/39281781,6/10,
Mourir peut attendre,2021,https://www.senscritique.com/film/mourir_peut_attendre/8193811,4/10,"Un Bond pompier voulu comme un chant du signe, mais qui rate à peu près tout ce qu'il entreprend :-/"
Pleasure,2021,https://www.senscritique.com/film/pleasure/42318798,7/10,
Boîte noire,2021,https://www.senscritique.com/film/boite_noire/40362781,7/10,
Judo,2004,https://www.senscritique.com/film/judo/361808,7/10,
Jungle Cruise,2021,https://www.senscritique.com/film/jungle_cruise/427608,5/10,Film d'aventure sous amphétamines !! L'alchimie du trio principal rend leurs aventures agréables à suivre. Les effets spéciaux sont quant à eux parfois (toujours) bien (trop) voyants :-(
Downton Abbey,2019,https://www.senscritique.com/film/downton_abbey/25707150,6/10,
L'Amour en laisse,2022,https://www.senscritique.com/film/l_amour_en_laisse/46208610,5/10,
L'Origine du monde,2020,https://www.senscritique.com/film/l_origine_du_monde/38870546,7/10,
Scream,2022,https://www.senscritique.com/film/scream/29774639,4/10,
Drive My Car,2021,https://www.senscritique.com/film/drive_my_car/44874328,7/10,
Onoda,2021,https://www.senscritique.com/film/onoda/41107856,8/10,
The Batman,2022,https://www.senscritique.com/film/the_batman/8466396,5/10,
The North Sea,2021,https://www.senscritique.com/film/the_north_sea/45441468,5/10,
Benedetta,2020,https://www.senscritique.com/film/benedetta/25242368,6/10,
Le Voile des illusions,2006,https://www.senscritique.com/film/le_voile_des_illusions/370943,6/10,
Nightmare Alley,2021,https://www.senscritique.com/film/nightmare_alley/30475754,7/10,
Alerte rouge,2022,https://www.senscritique.com/film/alerte_rouge/43671498,7/10,
Infernal Affairs II,2003,https://www.senscritique.com/film/infernal_affairs_ii/384513,5/10,Enfin !! :-)
Les Crevettes pailletées,2019,https://www.senscritique.com/film/les_crevettes_pailletees/38908139,6/10,
Infernal Affairs III,2003,https://www.senscritique.com/film/infernal_affairs_iii/449367,4/10,Enfin !! ^^
Last Night in Soho,2021,https://www.senscritique.com/film/last_night_in_soho/38920317,6/10,
La Bulle,2022,https://www.senscritique.com/film/la_bulle/44003079,5/10,
Black Crab,2022,https://www.senscritique.com/film/black_crab/44788670,4/10,
Moonfall,2022,https://www.senscritique.com/film/moonfall/21737751,4/10,
Mort sur le Nil,2022,https://www.senscritique.com/film/mort_sur_le_nil/28691108,6/10,"Un Bond pompier voulu comme un chant du signe, mais qui rate à peu près tout ce qu'il entreprend :-/"
Stillwater,2021,https://www.senscritique.com/film/stillwater/39754272,6/10,
The Mist,2007,https://www.senscritique.com/film/the_mist/384539,5/10,
Venom,2018,https://www.senscritique.com/film/venom/10658798,4/10,
Loin du périph,2022,https://www.senscritique.com/film/loin_du_periph/43807086,4/10,
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
Venom: Let There Be Carnage,2021,https://www.senscritique.com/film/venom_let_there_be_carnage/37706954,3/10,
The Northman,2022,https://www.senscritique.com/film/the_northman/40485643,6/10,
Coupez !,2022,https://www.senscritique.com/film/coupez/44466744,7/10,
Top Gun: Maverick,2022,https://www.senscritique.com/film/top_gun_maverick/13370077,6/10,
Jurassic World: Fallen Kingdom,2018,https://www.senscritique.com/film/jurassic_world_fallen_kingdom/16856448,4/10,
Ambulance,2022,https://www.senscritique.com/film/ambulance/43456119,6/10,
X,2022,https://www.senscritique.com/film/x/43386362,5/10,
Eiffel,2021,https://www.senscritique.com/film/eiffel/39657515,4/10,
Licorice Pizza,2021,https://www.senscritique.com/film/licorice_pizza/40650811,6/10,
Irréductible,2022,https://www.senscritique.com/film/irreductible/43365882,6/10,
Champagne !,2022,https://www.senscritique.com/film/champagne/45571833,4/10,
Elvis,2022,https://www.senscritique.com/film/elvis/39733666,7/10,
Downton Abbey II - Une nouvelle ère,2022,https://www.senscritique.com/film/downton_abbey_ii_une_nouvelle_ere/44691987,6/10,
Battle at Big Rock,2019,https://www.senscritique.com/film/battle_at_big_rock/40256880,5/10,
Jurassic World - Le Monde d'après,2022,https://www.senscritique.com/film/jurassic_world_le_monde_d_apres/17988573,5/10,
Promising Young Woman,2020,https://www.senscritique.com/film/promising_young_woman/40934499,7/10,
Vanishing,2022,https://www.senscritique.com/film/vanishing/45281538,5/10,
Le Secret de la cité perdue,2022,https://www.senscritique.com/film/le_secret_de_la_cite_perdue/44691262,4/10,
Men,2022,https://www.senscritique.com/film/men/43802859,7/10,
Buzz l'Éclair,2022,https://www.senscritique.com/film/buzz_l_eclair/43670694,6/10,
Le Coup du siècle,2019,https://www.senscritique.com/film/le_coup_du_siecle/38657278,3/10,
Decision to Leave,2022,https://www.senscritique.com/film/decision_to_leave/42224027,6/10,
Not Okay,2022,https://www.senscritique.com/film/not_okay/46867875,4/10,"Intéressant de mettre dans un même film des sujets comme le besoin de reconnaissance, la vacuité des RS, les fusillades de masse aux Etats-Unis."
Piège en eaux troubles,1993,https://www.senscritique.com/film/piege_en_eaux_troubles/425372,4/10,
Bullet Train,2022,https://www.senscritique.com/film/bullet_train/42556935,6/10,
Prey,2022,https://www.senscritique.com/film/prey/40935942,5/10,
Le Port de l'angoisse,1944,https://www.senscritique.com/film/le_port_de_l_angoisse/445878,7/10,
Nos années sauvages,1990,https://www.senscritique.com/film/nos_annees_sauvages/363503,7/10,
Viva Erotica,1996,https://www.senscritique.com/film/viva_erotica/465544,6/10,
Opération Condor,1991,https://www.senscritique.com/film/operation_condor/495599,6/10,
En attendant Bojangles,2022,https://www.senscritique.com/film/en_attendant_bojangles/43807569,4/10,"Déçu, surtout au regard du style d'abord enjoué puis doux-amer du roman, qu'on peine à retrouver dans le film."
Trois mille ans à t'attendre,2022,https://www.senscritique.com/film/trois_mille_ans_a_t_attendre/38002340,4/10,
Everything Everywhere All at Once,2022,https://www.senscritique.com/film/everything_everywhere_all_at_once/41357764,7/10,
En corps,2022,https://www.senscritique.com/film/en_corps/43558610,7/10,
Qu'est-ce qu'on a tous fait au Bon Dieu ?,2022,https://www.senscritique.com/film/qu_est_ce_qu_on_a_tous_fait_au_bon_dieu/39636052,5/10,
Super-héros malgré lui,2022,https://www.senscritique.com/film/super_heros_malgre_lui/42955935,4/10,
Evan tout-puissant,2007,https://www.senscritique.com/film/evan_tout_puissant/455752,3/10,
Us,2019,https://www.senscritique.com/film/us/33247816,6/10,
Goliath,2021,https://www.senscritique.com/film/goliath/43293531,5/10,
Hellraiser,2022,https://www.senscritique.com/film/hellraiser/39565936,3/10,"Pas foncièrement mauvais, mais tellement insignifiant :-( Beaucoup trop propre et aseptisé."
Hellraiser - Le Pacte,1987,https://www.senscritique.com/film/hellraiser_le_pacte/391686,6/10,
Novembre,2022,https://www.senscritique.com/film/novembre/44747759,6/10,
Hellraiser II : Les Écorchés,1988,https://www.senscritique.com/film/hellraiser_ii_les_ecorches/459284,6/10,
Barbare,2022,https://www.senscritique.com/film/barbare/48135726,6/10,
