title,year,film_url,user_rating,annotation
Rebecca,2020,https://www.senscritique.com/film/rebecca/38460022,5/10,"Plutôt joli, jouant à fond la carte du film ""à atmosphère"". Mais souffre forcément de la comparaison avec son illustre prédécesseur."
New York-Miami,1934,https://www.senscritique.com/film/new_york_miami/370756,7/10,
Énorme,2020,https://www.senscritique.com/film/enorme/39016114,7/10,
Panique année zéro,1962,https://www.senscritique.com/film/panique_annee_zero/495891,6/10,
Wonder Woman 1984,2020,https://www.senscritique.com/film/wonder_woman_1984/25408610,4/10,
Le Dernier Jour de ma vie,2017,https://www.senscritique.com/film/le_dernier_jour_de_ma_vie/22194576,5/10,
Play,2020,https://www.senscritique.com/film/play/36042876,5/10,
Outrage 2,2012,https://www.senscritique.com/film/outrage_2/8110133,7/10,"Étrangement, et un peu contrairement à tout le monde, j'ai trouvé ce second volet meilleur que le premier."
School on Fire,1988,https://www.senscritique.com/film/school_on_fire/475920,7/10,
Waiting for the Barbarians,2019,https://www.senscritique.com/film/waiting_for_the_barbarians/37806219,7/10,
"Raccrochez, c'est une erreur !",1948,https://www.senscritique.com/film/raccrochez_c_est_une_erreur/444012,7/10,
Mary Reilly,1996,https://www.senscritique.com/film/mary_reilly/384483,5/10,
I Care a Lot,2021,https://www.senscritique.com/film/i_care_a_lot/43810703,6/10,
Un prince à New York 2,2021,https://www.senscritique.com/film/un_prince_a_new_york_2/39761391,4/10,
État d'esprit,2021,https://www.senscritique.com/film/etat_d_esprit/41858010,4/10,
Eurovision Song Contest: The Story of Fire Saga,2020,https://www.senscritique.com/film/eurovision_song_contest_the_story_of_fire_saga/39775451,5/10,
Sentinelle,2021,https://www.senscritique.com/film/sentinelle/43828656,3/10,
Moonrise Kingdom,2012,https://www.senscritique.com/film/moonrise_kingdom/484219,8/10,
30 jours max,2020,https://www.senscritique.com/film/30_jours_max/40287311,3/10,"Je regrette beaucoup la forme de ce film qui se rapproche beaucoup d'un film à sketches. Le réalisation est ultra-minimaliste (pour être poli) et ferait passer ""Paris à tout prix"" pour un chef-d’œuvre du 7e Art."
Soul,2020,https://www.senscritique.com/film/soul/17775568,7/10,
Braquage final,2021,https://www.senscritique.com/film/braquage_final/39635884,5/10,
Les Anges gardiens,1995,https://www.senscritique.com/film/les_anges_gardiens/366692,4/10,
Daylight,1996,https://www.senscritique.com/film/daylight/483977,4/10,Grand consommateur de films catastrophe et plutôt Stallone compatible je suis pourtant resté sur ma faim.
Mortal Kombat,2021,https://www.senscritique.com/film/mortal_kombat/21983891,3/10,Étrange sentiment après avoir vu ce film. Plutôt joli (on est loin du film fauché ou du fan film) mais c'est bien là sa seule qualité :-(
Drug War,2013,https://www.senscritique.com/film/drug_war/8249628,7/10,
La Femme à la fenêtre,2021,https://www.senscritique.com/film/la_femme_a_la_fenetre/32473038,5/10,
Sans aucun remords,2021,https://www.senscritique.com/film/sans_aucun_remords/38801527,4/10,"Des scènes d'action plutôt léchées, juxtaposées dans un scénario qui ne s’embarrasse pas du vraisemblable (mention spéciale aux gardiens qui décident de traverser la cour sous une pluie torrentielle, sans penser à prendre de quoi se couvrir)."
Rocky II - La Revanche,1979,https://www.senscritique.com/film/rocky_ii_la_revanche/387458,6/10,
Army of the Dead,2021,https://www.senscritique.com/film/army_of_the_dead/38922991,4/10,
Il Divin Codino - L'art du but par Roberto Baggio,2021,https://www.senscritique.com/film/il_divin_codino_l_art_du_but_par_roberto_baggio/44259630,4/10,
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
Dirty Dancing,1987,https://www.senscritique.com/film/dirty_dancing/417530,6/10,
The Tomorrow War,2021,https://www.senscritique.com/film/the_tomorrow_war/38944334,4/10,
Présidents,2021,https://www.senscritique.com/film/presidents/43180027,4/10,
Comment je suis devenu super-héros,2020,https://www.senscritique.com/film/comment_je_suis_devenu_super_heros/18196776,6/10,
Love and Monsters,2020,https://www.senscritique.com/film/love_and_monsters/39069547,5/10,
The Dead Don't Die,2019,https://www.senscritique.com/film/the_dead_don_t_die/35815954,5/10,
Sans un bruit 2,2020,https://www.senscritique.com/film/sans_un_bruit_2/38155033,6/10,
Le Bout du monde,2019,https://www.senscritique.com/film/le_bout_du_monde/39636156,3/10,
Geostorm,2017,https://www.senscritique.com/film/geostorm/11453745,4/10,
Annette,2021,https://www.senscritique.com/film/annette/23351853,7/10,"Des longueurs dans la seconde moitié du film m'ont un peu fait retoucher terre, alors que je trouvais le film brillant jusque-là."
Kaamelott - Premier Volet,2021,https://www.senscritique.com/film/kaamelott_premier_volet/17954661,7/10,"Tout le monde s'accordera pour dire que ce film n'est pas un grand film en tant que tel. Cependant il passe le difficile écueil, après une SI longue attente, de ne pas décevoir. Et c'est déjà beaucoup."
Downsizing,2017,https://www.senscritique.com/film/downsizing/13062778,4/10,
USS Greyhound - La Bataille de l'Atlantique,2020,https://www.senscritique.com/film/uss_greyhound_la_bataille_de_l_atlantique/22730867,5/10,
Godzilla vs. Kong,2021,https://www.senscritique.com/film/godzilla_vs_kong/17359846,2/10,Il me vient 3 commentaires après avoir vu ce blockbuster :
Titane,2021,https://www.senscritique.com/film/titane/40252959,4/10,"Circonspect, beaucoup."
OSS 117 - Alerte rouge en Afrique noire,2021,https://www.senscritique.com/film/oss_117_alerte_rouge_en_afrique_noire/12808927,6/10,
BAC Nord,2020,https://www.senscritique.com/film/bac_nord/40270657,6/10,
Dune,2021,https://www.senscritique.com/film/dune/24698928,4/10,
Old,2021,https://www.senscritique.com/film/old/43095818,5/10,
Le Dernier Duel,2021,https://www.senscritique.com/film/le_dernier_duel/39757614,7/10,
Free Guy,2021,https://www.senscritique.com/film/free_guy/37673853,6/10,
8 rue de l'Humanité,2021,https://www.senscritique.com/film/8_rue_de_l_humanite/43287958,3/10,"Pitch aguicheur, casting au diapason... mais cinématographiquement raté : on a cruellement l'impression d'être devant un épisode d'une shortcom type ""Nos Chers Voisins"" :-("
L'amour est un crime parfait,2014,https://www.senscritique.com/film/l_amour_est_un_crime_parfait/8857795,6/10,"Me souviens très bien de la campagne de promo et des BA sulfureuses de l'époque, qui fait que j'avais toujours gardé ce film dans un coin de ma tête."
The French Dispatch,2021,https://www.senscritique.com/film/the_french_dispatch/38534850,6/10,
Le Discours,2020,https://www.senscritique.com/film/le_discours/40352806,7/10,
Adieu les cons,2020,https://www.senscritique.com/film/adieu_les_cons/39393779,7/10,
Don't Look Up - Déni cosmique,2021,https://www.senscritique.com/film/don_t_look_up_deni_cosmique/41371853,4/10,
