title,year,film_url,user_rating,annotation
La Très Très Grande Classe,2022,https://www.senscritique.com/film/la_tres_tres_grande_classe/45282863,4/10,Vacances en famille tout ça...
Le Cercle des neiges,2023,https://www.senscritique.com/film/le_cercle_des_neiges/48869419,7/10,
Wahou !,2023,https://www.senscritique.com/film/wahou/53890805,5/10,
La Reine africaine,1951,https://www.senscritique.com/film/la_reine_africaine/368975,7/10,
Acide,2023,https://www.senscritique.com/film/acide/45177658,5/10,
Godzilla Minus One,2023,https://www.senscritique.com/film/godzilla_minus_one/56838732,5/10,
La Zone d’intérêt,2023,https://www.senscritique.com/film/la_zone_dinteret/45420773,7/10,
La Main,2004,https://www.senscritique.com/film/la_main/7936619,4/10,Vacances en famille tout ça...
Creation of the Gods I,2023,https://www.senscritique.com/film/creation_of_the_gods_i_kingdom_of_storms/57919000,7/10,
Une année difficile,2023,https://www.senscritique.com/film/une_annee_difficile/46968804,5/10,
American Fiction,2023,https://www.senscritique.com/film/american_fiction/57668586,6/10,
Tout sauf toi,2023,https://www.senscritique.com/film/tout_sauf_toi/55846623,6/10,
Dream Scenario,2023,https://www.senscritique.com/film/dream_scenario/50775205,7/10,
Pauvres Créatures,2023,https://www.senscritique.com/film/pauvres_creatures/43827331,7/10,
Sick of Myself,2022,https://www.senscritique.com/film/sick_of_myself/47402140,6/10,
Le Challenge,2023,https://www.senscritique.com/film/le_challenge/49101839,6/10,
Midnight Special,2016,https://www.senscritique.com/film/midnight_special/8844509,7/10,
Le Règne animal,2023,https://www.senscritique.com/film/le_regne_animal/46685795,7/10,
Second Tour,2023,https://www.senscritique.com/film/second_tour/44859204,4/10,
Le Bonheur des uns...,2020,https://www.senscritique.com/film/le_bonheur_des_uns/41123463,7/10,
La Place d'une autre,2021,https://www.senscritique.com/film/la_place_d_une_autre/45237124,5/10,
Les Figures de l'ombre,2017,https://www.senscritique.com/film/les_figures_de_l_ombre/17953470,5/10,
Caprice,2015,https://www.senscritique.com/film/caprice/12828259,5/10,
Kimi,2022,https://www.senscritique.com/film/kimi/44625164,5/10,
Un coup de maître,2023,https://www.senscritique.com/film/un_coup_de_maitre/47987931,6/10,
Coup de chance,2023,https://www.senscritique.com/film/coup_de_chance/51276376,6/10,
Soudain seuls,2023,https://www.senscritique.com/film/soudain_seuls/44887355,5/10,
Road House,2024,https://www.senscritique.com/film/road_house/49744683,4/10,
Doctor Sleep : Version longue,2020,https://www.senscritique.com/film/doctor_sleep_version_longue/43535596,7/10,
Gosford Park,2001,https://www.senscritique.com/film/gosford_park/380519,7/10,
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
Dune - Deuxième partie,2024,https://www.senscritique.com/film/dune_deuxieme_partie/45424060,7/10,
Late Night with the Devil,2023,https://www.senscritique.com/film/late_night_with_the_devil/57555272,4/10,
